CH1,CH2,CH3
-0.125,-2.4,-2.36
-0.1249,-2.4,-2.36
-0.1248,-2.36,-2.36
-0.1247,-2.36,-2.32
-0.1246,-2.32,-2.32
-0.1245,-2.32,-2.32
-0.1244,-2.32,-2.32
-0.1243,-2.32,-2.28
-0.1242,-2.28,-2.28
-0.1241,-2.28,-2.28
-0.124,-2.28,-2.28
-0.1239,-2.28,-2.28
-0.1238,-2.28,-2.24
-0.1237,-2.24,-2.28
-0.1236,-2.24,-2.2
-0.1235,-2.2,-2.2
-0.1234,-2.2,-2.16
-0.1233,-2.2,-2.16
-0.1232,-2.2,-2.2
-0.1231,-2.2,-2.16
-0.123,-2.16,-2.16
-0.1229,-2.16,-2.16
-0.1228,-2.12,-2.16
-0.1227,-2.16,-2.12
-0.1226,-2.12,-2.12
-0.1225,-2.12,-2.12
-0.1224,-2.12,-2.08
-0.1223,-2.08,-2.08
-0.1222,-2.08,-2.08
-0.1221,-2.08,-2.08
-0.122,-2.08,-2.04
-0.1219,-2.08,-2.04
-0.1218,-2.04,-2.04
-0.1217,-2.04,-2.04
-0.1216,-2.04,-2.04
-0.1215,-2,-2.04
-0.1214,-2,-2
-0.1213,-2,-1.96
-0.1212,-1.96,-2
-0.1211,-1.96,-1.96
-0.121,-1.96,-1.92
-0.1209,-1.96,-1.96
-0.1208,-1.92,-1.92
-0.1207,-1.92,-1.92
-0.1206,-1.92,-1.88
-0.1205,-1.92,-1.88
-0.1204,-1.92,-1.92
-0.1203,-1.88,-1.88
-0.1202,-1.88,-1.88
-0.1201,-1.92,-1.88
-0.12,-1.88,-1.84
-0.1199,-1.84,-1.84
-0.1198,-1.84,-1.84
-0.1197,-1.84,-1.84
-0.1196,-1.84,-1.84
-0.1195,-1.84,-1.84
-0.1194,-1.8,-1.8
-0.1193,-1.8,-1.8
-0.1192,-1.76,-1.76
-0.1191,-1.76,-1.76
-0.119,-1.8,-1.76
-0.1189,-1.76,-1.76
-0.1188,-1.76,-1.72
-0.1187,-1.72,-1.72
-0.1186,-1.72,-1.72
-0.1185,-1.72,-1.72
-0.1184,-1.68,-1.72
-0.1183,-1.68,-1.72
-0.1182,-1.68,-1.68
-0.1181,-1.68,-1.68
-0.118,-1.64,-1.64
-0.1179,-1.68,-1.68
-0.1178,-1.64,-1.64
-0.1177,-1.64,-1.64
-0.1176,-1.6,-1.64
-0.1175,-1.6,-1.6
-0.1174,-1.6,-1.6
-0.1173,-1.6,-1.6
-0.1172,-1.56,-1.56
-0.1171,-1.56,-1.56
-0.117,-1.56,-1.56
-0.1169,-1.56,-1.52
-0.1168,-1.52,-1.52
-0.1167,-1.52,-1.52
-0.1166,-1.52,-1.52
-0.1165,-1.52,-1.48
-0.1164,-1.48,-1.48
-0.1163,-1.52,-1.48
