CH1,CH2,CH3
-5e-07,-1.02,-0.98
-4.996e-07,-1.02,-0.98
-4.992e-07,-1.02,-0.98
-4.988e-07,-1.02,-0.98
-4.984e-07,-1.02,-0.98
-4.98e-07,-1.02,-0.98
-4.976e-07,-1.02,-0.96
-4.972e-07,-1.02,-0.98
-4.968e-07,-1.02,-0.98
-4.964e-07,-1.02,-0.98
-4.96e-07,-1.02,-0.98
-4.956e-07,-1.02,-0.98
-4.952e-07,-1.04,-0.98
-4.948e-07,-1.02,-0.98
-4.944e-07,-1.02,-1
-4.94e-07,-1.02,-1
-4.936e-07,-1,-1
-4.932e-07,-1,-1
-4.928e-07,-1,-1
-4.924e-07,-1,-0.98
-4.92e-07,-1,-0.98
-4.916e-07,-1,-0.98
-4.912e-07,-1.02,-1
-4.908e-07,-1.02,-1
-4.904e-07,-1.02,-1
-4.9e-07,-1.02,-1.02
-4.896e-07,-1.02,-1
-4.892e-07,-1.02,-1
-4.888e-07,-1.02,-1
-4.884e-07,-1.02,-0.98
-4.88e-07,-1.02,-0.98
-4.876e-07,-1,-0.98
-4.872e-07,-1.02,-0.98
-4.868e-07,-1.02,-0.98
-4.864e-07,-1.02,-1
-4.86e-07,-1.02,-1
-4.856e-07,-1.02,-1
-4.852e-07,-1.02,-1
-4.848e-07,-1.02,-1
-4.844e-07,-1.02,-0.98
-4.84e-07,-1.02,-0.98
-4.836e-07,-1.02,-0.98
-4.832e-07,-1.02,-0.98
-4.828e-07,-1.02,-0.98
-4.824e-07,-1.02,-0.96
-4.82e-07,-1.02,-0.96
-4.816e-07,-1.02,-0.96
-4.812e-07,-1.04,-0.96
-4.808e-07,-1.02,-0.96
-4.804e-07,-1.02,-0.96
-4.8e-07,-1.02,-0.96
-4.796e-07,-1,-0.96
-4.792e-07,-1.02,-0.98
-4.788e-07,-1.02,-0.98
-4.784e-07,-1.02,-0.98
-4.78e-07,-1.02,-0.98
-4.776e-07,-1.02,-0.96
-4.772e-07,-1.02,-0.96
-4.768e-07,-1.02,-0.96
-4.764e-07,-1.02,-0.98
-4.76e-07,-1.02,-0.98
-4.756e-07,-1,-0.98
-4.752e-07,-1.02,-0.98
-4.748e-07,-1.02,-0.98
-4.744e-07,-1.02,-0.98
-4.74e-07,-1.02,-0.98
-4.736e-07,-1.02,-0.98
-4.732e-07,-1.02,-0.98
-4.728e-07,-1.02,-0.98
-4.724e-07,-1.02,-0.98
-4.72e-07,-1.02,-0.98
-4.716e-07,-1.02,-0.98
-4.712e-07,-1.02,-0.98
-4.708e-07,-1.02,-0.98
-4.704e-07,-1.02,-0.98
-4.7e-07,-1.02,-0.98
-4.696e-07,-1.02,-0.96
-4.692e-07,-1.02,-0.96
-4.688e-07,-1.02,-0.96
-4.684e-07,-1.02,-0.98
-4.68e-07,-1.02,-0.98
-4.676e-07,-1.02,-0.98
-4.672e-07,-1.02,-0.98
-4.668e-07,-1.02,-0.98
-4.664e-07,-1,-0.98
-4.66e-07,-1,-0.98
-4.656e-07,-1,-0.98
-4.652e-07,-1.04,-1
-4.648e-07,-1.06,-1
-4.644e-07,-1.08,-1.02
-4.64e-07,-1.08,-1.02
