CH1,CH2,CH3
-0.025,-5,0
-0.02498,-4.8,0
-0.02496,-5,0
-0.02494,-5,0
-0.02492,-5,0
-0.0249,-5,0
-0.02488,-5,0
-0.02486,-5,0
-0.02484,-5,0
-0.02482,-5,0
-0.0248,-5,0
-0.02478,-5,0
-0.02476,-5,0
-0.02474,-5,0
-0.02472,-5,0
-0.0247,-5.2,0
-0.02468,-5,0
-0.02466,-5,0
-0.02464,-5,0
-0.02462,-5.2,0
-0.0246,-5.2,0
-0.02458,-5.2,0
-0.02456,-5.2,0
-0.02454,-5.2,0
-0.02452,-5.2,0
-0.0245,-5,0
-0.02448,-5,0
-0.02446,-5,0.2
-0.02444,-5.2,0
-0.02442,-5,0
-0.0244,-5,0
-0.02438,-5,0
-0.02436,-5,0
-0.02434,-5,0
-0.02432,-5,0
-0.0243,-5,0
-0.02428,-5,0
-0.02426,-5,0
-0.02424,-5,0
-0.02422,-5,0
-0.0242,-5,0
-0.02418,-5,0
-0.02416,-5,0
-0.02414,-5,0
-0.02412,-4.8,0
-0.0241,-5,-0.2
-0.02408,-4.8,0
-0.02406,-5,0
-0.02404,-4.8,0
-0.02402,-4.8,0
-0.024,-4.8,0
-0.02398,-4.8,0
-0.02396,-4.8,0
-0.02394,-4.8,0
-0.02392,-4.8,0
-0.0239,-4.6,0
-0.02388,-4.6,0
-0.02386,-4.6,0
-0.02384,-4.6,0
-0.02382,-4.6,0
-0.0238,-4.4,0
-0.02378,-4.4,0
-0.02376,-4.4,0
-0.02374,-4.4,0.2
-0.02372,-4.4,0
-0.0237,-4.4,0
-0.02368,-4.4,0
-0.02366,-4.4,0
-0.02364,-4.2,0
-0.02362,-4.2,0
-0.0236,-4.2,0
-0.02358,-4.2,0
-0.02356,-4.2,0
-0.02354,-4.2,0
-0.02352,-4,0
-0.0235,-4,0
-0.02348,-4,0
-0.02346,-3.8,0
-0.02344,-3.8,0
-0.02342,-3.8,0
-0.0234,-3.8,0
-0.02338,-3.6,0.2
-0.02336,-3.6,0
-0.02334,-3.6,0
-0.02332,-3.6,0
-0.0233,-3.6,0
-0.02328,-3.6,0
-0.02326,-3.6,0
-0.02324,-3.4,0
-0.02322,-3.4,0
-0.0232,-3.4,0
-0.02318,-3.2,0
-0.02316,-3.4,0
-0.02314,-3.2,0
-0.02312,-3.2,0
-0.0231,-3.2,0
-0.02308,-3.2,0
-0.02306,-3,0
-0.02304,-3,0
-0.02302,-3,0
-0.023,-3,0
-0.02298,-3,0
-0.02296,-2.8,0
-0.02294,-2.8,0
-0.02292,-2.8,0
-0.0229,-2.8,0
-0.02288,-2.6,0.2
-0.02286,-2.6,0
-0.02284,-2.6,0
-0.02282,-2.4,0
-0.0228,-2.4,0
-0.02278,-2.2,0.2
-0.02276,-2.2,0
-0.02274,-2.2,0
-0.02272,-2,-0.2
-0.0227,-2,-0.2
-0.02268,-2,-0.2
-0.02266,-2,0
-0.02264,-1.8,0
-0.02262,-1.8,0
-0.0226,-1.8,0
-0.02258,-1.6,0
-0.02256,-1.6,0
-0.02254,-1.6,0
-0.02252,-1.6,0
-0.0225,-1.4,0
-0.02248,-1.4,0
-0.02246,-1.4,0
-0.02244,-1.2,0
-0.02242,-1.2,0
-0.0224,-1.2,0
-0.02238,-1,0
-0.02236,-1,0
-0.02234,-1,0
-0.02232,-0.8,0
-0.0223,-0.8,0
-0.02228,-0.8,0
-0.02226,-0.6,0
-0.02224,-0.6,0
-0.02222,-0.6,0
-0.0222,-0.6,0
-0.02218,-0.6,0
-0.02216,-0.4,0
-0.02214,-0.4,0
-0.02212,-0.2,0
-0.0221,-0.2,0
-0.02208,0,0
-0.02206,0,0
-0.02204,0,0
-0.02202,0,0
-0.022,0.2,0
-0.02198,0.2,0
-0.02196,0.2,0
-0.02194,0.4,0
-0.02192,0.4,0
-0.0219,0.4,0
-0.02188,0.6,0
-0.02186,0.6,0
-0.02184,0.6,0
-0.02182,0.6,0
-0.0218,0.8,0
-0.02178,0.8,0
-0.02176,0.8,0
-0.02174,0.8,0
-0.02172,1,0
-0.0217,1,0
-0.02168,1,0
-0.02166,1.2,0
-0.02164,1.2,0
-0.02162,1.2,0
-0.0216,1.4,0
-0.02158,1.4,0
-0.02156,1.4,0
-0.02154,1.6,0
-0.02152,1.6,0
-0.0215,1.6,0
-0.02148,1.8,0
-0.02146,1.8,0
-0.02144,1.8,0
-0.02142,1.8,0
-0.0214,2,0
-0.02138,2,0
-0.02136,2.2,0
-0.02134,2.2,0
-0.02132,2.2,0
-0.0213,2.4,0
-0.02128,2.4,0
-0.02126,2.4,0
-0.02124,2.4,0
-0.02122,2.6,0
-0.0212,2.6,0
-0.02118,2.6,0
-0.02116,2.8,0
-0.02114,2.8,0
-0.02112,2.8,0
-0.0211,2.8,0
-0.02108,3,0
-0.02106,3,0
-0.02104,3,0
-0.02102,3,0
-0.021,3,0
-0.02098,3.2,0
-0.02096,3,0
-0.02094,3.2,0
-0.02092,3.2,0
-0.0209,3.4,0
-0.02088,3.4,0
-0.02086,3.4,0
-0.02084,3.4,0
-0.02082,3.4,0
-0.0208,3.6,0.2
-0.02078,3.6,0
-0.02076,3.6,0
-0.02074,3.6,0
-0.02072,3.6,0
-0.0207,3.8,0
-0.02068,3.8,0
-0.02066,3.8,0
-0.02064,4,0
-0.02062,3.8,0
-0.0206,4,0
-0.02058,4,0
-0.02056,4,0
-0.02054,4,0
-0.02052,4.2,0.2
-0.0205,4,0
-0.02048,4.2,0
-0.02046,4.2,0
-0.02044,4.2,0
-0.02042,4.4,0
-0.0204,4.4,0
-0.02038,4.4,0.2
-0.02036,4.4,0
-0.02034,4.6,0
-0.02032,4.6,0
-0.0203,4.6,0
-0.02028,4.6,0
-0.02026,4.6,0
-0.02024,4.6,0
-0.02022,4.6,0
-0.0202,4.6,0
-0.02018,4.6,0
-0.02016,4.8,0
-0.02014,4.8,0
-0.02012,4.8,0
-0.0201,4.8,0
-0.02008,4.8,0
-0.02006,4.8,0
-0.02004,4.8,0
-0.02002,4.8,0
-0.02,4.8,0
-0.01998,4.8,0
-0.01996,5,0
-0.01994,5,0
-0.01992,5,0
-0.0199,5,0
-0.01988,5,0.2
-0.01986,5,0
-0.01984,5,0
-0.01982,5,0
-0.0198,5,0
-0.01978,5,0
-0.01976,5,0
-0.01974,5,0
-0.01972,5,0
-0.0197,5,0
-0.01968,5,0
-0.01966,5,0
-0.01964,5,0
-0.01962,5,0
-0.0196,5,0
-0.01958,5,0
-0.01956,5,0
-0.01954,5.2,0
-0.01952,5,0
-0.0195,5.2,0
-0.01948,5,0
-0.01946,5,0
-0.01944,5,0
-0.01942,5.2,0
-0.0194,5,0
-0.01938,5,0
-0.01936,5,0
-0.01934,5,0
-0.01932,5,0.2
-0.0193,5,0
-0.01928,5,0
-0.01926,5,0
-0.01924,5,0
-0.01922,5,0
-0.0192,5,0
-0.01918,5,0
-0.01916,4.8,0
-0.01914,5,0
-0.01912,4.8,0
-0.0191,4.8,0
-0.01908,4.8,0
-0.01906,5,0
-0.01904,4.8,0
-0.01902,4.8,0
-0.019,4.8,0
-0.01898,4.8,0.2
-0.01896,4.8,0
-0.01894,4.8,0
-0.01892,4.8,0
-0.0189,4.8,0
-0.01888,4.8,0
-0.01886,4.6,0
-0.01884,4.6,0
-0.01882,4.6,0
-0.0188,4.6,0
-0.01878,4.6,0.2
-0.01876,4.6,0
-0.01874,4.6,0
-0.01872,4.4,0
-0.0187,4.4,0
-0.01868,4.4,0
-0.01866,4.4,0
-0.01864,4.4,0
-0.01862,4.2,0
-0.0186,4.2,0
-0.01858,4.2,0
-0.01856,4.2,0
-0.01854,4.2,0
-0.01852,4,0
-0.0185,4,0
-0.01848,4,0
-0.01846,4,0
-0.01844,3.8,0
-0.01842,4,0
-0.0184,3.8,0.2
-0.01838,3.8,0
-0.01836,3.8,0.2
-0.01834,3.6,0
-0.01832,3.6,0
-0.0183,3.6,0
-0.01828,3.6,0.2
-0.01826,3.6,0
-0.01824,3.6,0
-0.01822,3.6,0
-0.0182,3.4,0
-0.01818,3.4,0
-0.01816,3.2,0
-0.01814,3.4,0
-0.01812,3.2,0
-0.0181,3.2,0
-0.01808,3.2,0.2
-0.01806,3.2,0
-0.01804,3,0.2
-0.01802,3,0
-0.018,2.8,0.2
-0.01798,3,0
-0.01796,2.8,0
-0.01794,2.8,0
-0.01792,2.8,0
-0.0179,2.6,0.2
-0.01788,2.6,0
-0.01786,2.6,0
-0.01784,2.6,0.2
-0.01782,2.4,0.2
-0.0178,2.4,0
-0.01778,2.4,0.2
-0.01776,2.2,0
-0.01774,2.2,0.2
-0.01772,2.2,0
-0.0177,2.2,0.2
-0.01768,2,0
-0.01766,2,0.2
-0.01764,1.8,0
-0.01762,1.8,0.2
-0.0176,1.8,0
-0.01758,1.8,0.2
-0.01756,1.6,0
-0.01754,1.6,0
-0.01752,1.6,0
-0.0175,1.6,0.2
-0.01748,1.4,0.2
-0.01746,1.4,0
-0.01744,1.2,0.2
-0.01742,1.4,0
-0.0174,1.2,0
-0.01738,1.2,0
-0.01736,1,0
-0.01734,1,0
-0.01732,0.8,0.2
-0.0173,0.8,0.2
-0.01728,0.8,0.2
-0.01726,0.8,0
-0.01724,0.8,0
-0.01722,0.6,0
-0.0172,0.6,0
-0.01718,0.6,0
-0.01716,0.4,0
-0.01714,0.4,0
-0.01712,0.4,0.2
-0.0171,0.4,0.2
-0.01708,0.2,0
-0.01706,0,0
-0.01704,0.2,0
-0.01702,0,0
-0.017,0,0
-0.01698,0,0
-0.01696,-0.2,0
-0.01694,-0.2,0.2
-0.01692,-0.4,0
-0.0169,-0.4,0
-0.01688,-0.4,0.2
-0.01686,-0.6,0.2
-0.01684,-0.6,0
-0.01682,-0.6,0
-0.0168,-0.8,0.2
-0.01678,-0.8,0.2
-0.01676,-0.8,0
-0.01674,-0.8,0
-0.01672,-1,0
-0.0167,-1,0
-0.01668,-1,0
-0.01666,-1.2,0
-0.01664,-1.2,0
-0.01662,-1.2,0
-0.0166,-1.4,0.2
-0.01658,-1.4,0
-0.01656,-1.4,0
-0.01654,-1.4,0.2
-0.01652,-1.6,0.2
-0.0165,-1.8,0.2
-0.01648,-1.6,0
-0.01646,-1.8,0
-0.01644,-1.8,0
-0.01642,-1.8,0.2
-0.0164,-2,0.2
-0.01638,-2,0
-0.01636,-2,0.2
-0.01634,-2.2,0
-0.01632,-2.2,0.2
-0.0163,-2.2,0.2
-0.01628,-2.2,0.2
-0.01626,-2.4,0
-0.01624,-2.4,0.2
-0.01622,-2.6,0
-0.0162,-2.6,0.2
-0.01618,-2.6,0
-0.01616,-2.6,0.2
-0.01614,-2.8,0
-0.01612,-2.8,0.2
-0.0161,-2.8,0.2
-0.01608,-3,0.2
-0.01606,-3,0
-0.01604,-3,0
-0.01602,-3,0.2
-0.016,-3,0
-0.01598,-3.2,0
-0.01596,-3.2,0
-0.01594,-3.2,0.2
-0.01592,-3.2,0.2
-0.0159,-3.2,0
-0.01588,-3.2,0
-0.01586,-3.4,0
-0.01584,-3.4,0.2
-0.01582,-3.4,0
-0.0158,-3.6,0.2
-0.01578,-3.6,0.2
-0.01576,-3.6,0
-0.01574,-3.6,0.2
-0.01572,-3.8,0
-0.0157,-3.8,0
-0.01568,-3.8,0
-0.01566,-3.8,0
-0.01564,-3.8,0
-0.01562,-3.8,0.2
-0.0156,-4,0
-0.01558,-4,0
-0.01556,-4,0.2
-0.01554,-4,0
-0.01552,-4,0
-0.0155,-4.2,0.2
-0.01548,-4.2,0.2
-0.01546,-4.2,0
-0.01544,-4.2,0
-0.01542,-4.2,0.2
-0.0154,-4.2,0.2
-0.01538,-4.4,0
-0.01536,-4.4,0
-0.01534,-4.4,0
-0.01532,-4.4,0
-0.0153,-4.4,0
-0.01528,-4.4,0
-0.01526,-4.6,0
-0.01524,-4.6,0.2
-0.01522,-4.6,0.2
-0.0152,-4.6,0.2
-0.01518,-4.6,0
-0.01516,-4.6,0.2
-0.01514,-4.8,0
-0.01512,-4.8,0.2
-0.0151,-4.6,0
-0.01508,-4.8,0.2
-0.01506,-4.8,0.2
-0.01504,-4.8,0
-0.01502,-4.8,0
-0.015,-4.8,0
-0.01498,-4.8,0
-0.01496,-5,0
-0.01494,-5,0
-0.01492,-5,0
-0.0149,-5,0
-0.01488,-5,0
-0.01486,-5,0
-0.01484,-5,0.2
-0.01482,-5,0.2
-0.0148,-5,0.2
-0.01478,-5,0
-0.01476,-5,0
-0.01474,-5,0.2
-0.01472,-5,0.2
-0.0147,-5,0.2
-0.01468,-5,0
-0.01466,-5,0.2
-0.01464,-5,0.2
-0.01462,-5,0.2
-0.0146,-5.2,0
-0.01458,-5,0
-0.01456,-5.2,0
-0.01454,-5,0.2
-0.01452,-5,0
-0.0145,-5,0.2
-0.01448,-5.2,0
-0.01446,-5.2,0
-0.01444,-5,0
-0.01442,-5.2,0
-0.0144,-5,0.2
-0.01438,-5,0.2
-0.01436,-5,0.2
-0.01434,-5,0.2
-0.01432,-5,0.2
-0.0143,-5.2,0
-0.01428,-5,0.2
-0.01426,-5,0
-0.01424,-5,0
-0.01422,-5,0
-0.0142,-5,0.2
-0.01418,-5,0
-0.01416,-5,0
-0.01414,-5,0
-0.01412,-5,0.2
-0.0141,-5,0
-0.01408,-4.8,0.2
-0.01406,-4.8,0
-0.01404,-4.8,0.2
-0.01402,-4.8,0.2
-0.014,-4.8,0.2
-0.01398,-4.8,0.2
-0.01396,-4.8,0
-0.01394,-4.8,0.2
-0.01392,-4.6,0
-0.0139,-4.8,0
-0.01388,-4.6,0
-0.01386,-4.6,0
-0.01384,-4.6,0
-0.01382,-4.6,0.2
-0.0138,-4.6,0
-0.01378,-4.6,0.2
-0.01376,-4.4,0.2
-0.01374,-4.4,0
-0.01372,-4.4,0
-0.0137,-4.4,0
-0.01368,-4.2,0.2
-0.01366,-4.2,0.2
-0.01364,-4.2,0
-0.01362,-4.2,0.2
-0.0136,-4.2,0
-0.01358,-4.2,0.2
-0.01356,-4.2,0.2
-0.01354,-4,0.2
-0.01352,-4,0.2
-0.0135,-4,0
-0.01348,-4,0
-0.01346,-3.8,0
-0.01344,-4,0
-0.01342,-3.8,0
-0.0134,-3.8,0
-0.01338,-3.6,0
-0.01336,-3.8,0
-0.01334,-3.6,0
-0.01332,-3.6,0.2
-0.0133,-3.6,0.2
-0.01328,-3.6,0.2
-0.01326,-3.6,0
-0.01324,-3.4,0.2
-0.01322,-3.4,0.2
-0.0132,-3.4,0.2
-0.01318,-3.2,0
-0.01316,-3.2,0.2
