CH1,CH2,CH3
-1.25e-07,-1.04,-0.28
-1.249e-07,-1.04,-0.28
-1.248e-07,-1.04,-0.28
-1.247e-07,-1.04,-0.28
-1.246e-07,-1.04,-0.28
-1.245e-07,-1.04,-0.28
-1.244e-07,-1.04,-0.28
-1.243e-07,-1.04,-0.28
-1.242e-07,-1.04,-0.28
-1.241e-07,-1.04,-0.28
-1.24e-07,-1.04,-0.24
-1.239e-07,-1.02,-0.24
-1.238e-07,-1.02,-0.24
-1.237e-07,-1.02,-0.28
-1.236e-07,-1.02,-0.28
-1.235e-07,-1.02,-0.28
-1.234e-07,-1.02,-0.28
-1.233e-07,-1.02,-0.28
-1.232e-07,-1.02,-0.28
-1.231e-07,-1,-0.28
-1.23e-07,-1,-0.28
-1.229e-07,-1,-0.28
-1.228e-07,-1,-0.28
-1.227e-07,-1.02,-0.28
-1.226e-07,-1.02,-0.28
-1.225e-07,-1.02,-0.28
-1.224e-07,-1.02,-0.28
-1.223e-07,-1.02,-0.28
-1.222e-07,-1.02,-0.28
-1.221e-07,-1.02,-0.28
-1.22e-07,-1.02,-0.24
-1.219e-07,-1.02,-0.24
-1.218e-07,-1.02,-0.24
-1.217e-07,-1.04,-0.28
-1.216e-07,-1.04,-0.28
-1.215e-07,-1.04,-0.28
-1.214e-07,-1.04,-0.28
-1.213e-07,-1.04,-0.28
-1.212e-07,-1.04,-0.28
-1.211e-07,-1.04,-0.28
-1.21e-07,-1.02,-0.28
-1.209e-07,-1.02,-0.28
-1.208e-07,-1.02,-0.28
-1.207e-07,-1.02,-0.28
-1.206e-07,-1.02,-0.28
-1.205e-07,-1.02,-0.28
-1.204e-07,-1,-0.28
-1.203e-07,-1,-0.28
-1.202e-07,-1,-0.28
-1.201e-07,-1,-0.28
-1.2e-07,-1,-0.28
-1.199e-07,-0.98,-0.28
-1.198e-07,-0.98,-0.28
-1.197e-07,-0.98,-0.28
-1.196e-07,-1,-0.28
-1.195e-07,-1,-0.28
-1.194e-07,-1,-0.28
-1.193e-07,-1,-0.28
-1.192e-07,-1,-0.28
-1.191e-07,-1,-0.28
-1.19e-07,-1,-0.28
-1.189e-07,-1,-0.28
-1.188e-07,-1,-0.28
-1.187e-07,-1,-0.28
-1.186e-07,-1,-0.28
-1.185e-07,-1,-0.28
-1.184e-07,-1,-0.28
-1.183e-07,-1,-0.28
-1.182e-07,-1,-0.28
-1.181e-07,-1,-0.28
-1.18e-07,-1,-0.28
-1.179e-07,-1,-0.28
-1.178e-07,-1,-0.28
-1.177e-07,-1.02,-0.28
-1.176e-07,-1.02,-0.28
-1.175e-07,-1.02,-0.28
-1.174e-07,-1.02,-0.28
-1.173e-07,-1.02,-0.28
-1.172e-07,-1.02,-0.28
-1.171e-07,-1.02,-0.28
-1.17e-07,-1.02,-0.28
-1.169e-07,-1.02,-0.28
-1.168e-07,-1.02,-0.28
-1.167e-07,-1.02,-0.28
-1.166e-07,-1.02,-0.28
-1.165e-07,-1.02,-0.28
-1.164e-07,-1.02,-0.28
-1.163e-07,-1.02,-0.28
-1.162e-07,-1.02,-0.28
-1.161e-07,-1.02,-0.28
-1.16e-07,-1,-0.28
-1.159e-07,-1,-0.28
-1.158e-07,-1,-0.28
-1.157e-07,-1,-0.32
-1.156e-07,-1,-0.32
-1.155e-07,-1,-0.32
-1.154e-07,-1,-0.32
-1.153e-07,-1,-0.32
-1.152e-07,-1,-0.32
-1.151e-07,-1,-0.32
-1.15e-07,-1,-0.32
-1.149e-07,-1,-0.32
-1.148e-07,-1,-0.32
-1.147e-07,-1,-0.32
-1.146e-07,-1,-0.32
-1.145e-07,-1,-0.32
-1.144e-07,-1,-0.32
-1.143e-07,-1,-0.32
-1.142e-07,-1,-0.32
-1.141e-07,-1,-0.32
-1.14e-07,-1,-0.28
-1.139e-07,-1,-0.28
-1.138e-07,-1,-0.28
-1.137e-07,-1.02,-0.28
-1.136e-07,-1.02,-0.28
-1.135e-07,-1.02,-0.28
-1.134e-07,-1.02,-0.28
-1.133e-07,-1.02,-0.28
-1.132e-07,-1.02,-0.28
-1.131e-07,-1.02,-0.28
-1.13e-07,-1.02,-0.28
-1.129e-07,-1.02,-0.28
-1.128e-07,-1.02,-0.28
-1.127e-07,-1.02,-0.28
-1.126e-07,-1.02,-0.28
-1.125e-07,-1.02,-0.28
-1.124e-07,-1.02,-0.28
-1.123e-07,-1.02,-0.28
-1.122e-07,-1.02,-0.28
-1.121e-07,-1.02,-0.28
-1.12e-07,-1,-0.24
-1.119e-07,-1,-0.24
-1.118e-07,-1,-0.24
-1.117e-07,-1,-0.28
-1.116e-07,-1,-0.28
-1.115e-07,-1,-0.28
-1.114e-07,-1,-0.28
-1.113e-07,-1,-0.28
-1.112e-07,-1,-0.28
-1.111e-07,-1,-0.28
-1.11e-07,-1,-0.28
-1.109e-07,-1,-0.28
-1.108e-07,-1,-0.28
-1.107e-07,-1.02,-0.28
-1.106e-07,-1.02,-0.28
-1.105e-07,-1.02,-0.28
-1.104e-07,-1.02,-0.28
-1.103e-07,-1.02,-0.28
-1.102e-07,-1.02,-0.28
-1.101e-07,-1.02,-0.28
-1.1e-07,-1.02,-0.28
-1.099e-07,-1.02,-0.28
-1.098e-07,-1.04,-0.28
-1.097e-07,-1.04,-0.28
-1.096e-07,-1.04,-0.28
-1.095e-07,-1.04,-0.28
-1.094e-07,-1.04,-0.28
-1.093e-07,-1.04,-0.28
-1.092e-07,-1.04,-0.28
-1.091e-07,-1.04,-0.28
-1.09e-07,-1.04,-0.28
-1.089e-07,-1.04,-0.28
-1.088e-07,-1.04,-0.28
-1.087e-07,-1.04,-0.32
-1.086e-07,-1.04,-0.32
-1.085e-07,-1.04,-0.32
-1.084e-07,-1.04,-0.32
