CH1,CH2,CH3
-4.6e-08,-1,-0.96
-4.58e-08,-1.02,-0.96
-4.56e-08,-1.02,-0.96
-4.54e-08,-1.02,-0.96
-4.52e-08,-1.02,-0.96
-4.5e-08,-1.02,-0.96
-4.48e-08,-1.04,-0.98
-4.46e-08,-1.04,-0.98
-4.44e-08,-1.04,-0.98
-4.42e-08,-1.04,-0.98
-4.4e-08,-1.02,-0.98
-4.38e-08,-1.02,-0.98
-4.36e-08,-1.02,-0.98
-4.34e-08,-1,-0.98
-4.32e-08,-1,-0.98
-4.3e-08,-0.98,-0.98
-4.28e-08,-0.98,-0.98
-4.26e-08,-0.98,-0.98
-4.24e-08,-0.98,-0.98
-4.22e-08,-0.98,-0.98
-4.2e-08,-0.98,-0.98
-4.18e-08,-1,-0.98
-4.16e-08,-1,-0.98
-4.14e-08,-1,-0.98
-4.12e-08,-1,-0.98
-4.1e-08,-1,-0.98
-4.08e-08,-1.02,-0.98
-4.06e-08,-1.02,-0.98
-4.04e-08,-1.02,-0.98
-4.02e-08,-1.02,-0.98
-4e-08,-1.02,-0.98
-3.98e-08,-1.02,-0.98
-3.96e-08,-1.04,-0.98
-3.94e-08,-1.04,-0.98
-3.92e-08,-1.02,-0.98
-3.9e-08,-1.02,-0.98
-3.88e-08,-1.02,-0.98
-3.86e-08,-1.02,-0.98
-3.84e-08,-1.02,-0.98
-3.82e-08,-1.02,-0.98
-3.8e-08,-1,-0.98
-3.78e-08,-1,-0.98
-3.76e-08,-1,-0.98
-3.74e-08,-1,-0.98
-3.72e-08,-1,-0.98
-3.7e-08,-1,-0.98
-3.68e-08,-1,-0.98
-3.66e-08,-1,-0.98
-3.64e-08,-1,-0.98
-3.62e-08,-1,-0.98
-3.6e-08,-1,-0.98
-3.58e-08,-1,-0.98
-3.56e-08,-1,-0.98
-3.54e-08,-1,-0.98
-3.52e-08,-1,-0.98
-3.5e-08,-1,-0.96
-3.48e-08,-1.02,-0.96
-3.46e-08,-1.02,-0.96
-3.44e-08,-1.02,-0.96
-3.42e-08,-1.02,-0.96
-3.4e-08,-1.02,-0.96
-3.38e-08,-1.02,-0.96
-3.36e-08,-1.02,-0.96
-3.34e-08,-1.02,-0.96
-3.32e-08,-1.02,-0.96
-3.3e-08,-1.02,-0.96
-3.28e-08,-1.02,-0.96
-3.26e-08,-1.02,-0.96
-3.24e-08,-1.02,-0.96
-3.22e-08,-1.02,-0.96
-3.2e-08,-1.02,-0.96
-3.18e-08,-1.02,-0.96
-3.16e-08,-1.02,-0.96
-3.14e-08,-1.02,-0.96
-3.12e-08,-1.02,-0.96
-3.1e-08,-1,-0.94
-3.08e-08,-1.02,-0.94
-3.06e-08,-1.02,-0.96
-3.04e-08,-1.02,-0.96
-3.02e-08,-1.02,-0.96
-3e-08,-1.02,-0.96
-2.98e-08,-1.02,-0.98
-2.96e-08,-1.04,-0.98
-2.94e-08,-1.04,-0.98
-2.92e-08,-1.02,-0.98
-2.9e-08,-1.02,-0.98
-2.88e-08,-1.02,-0.98
-2.86e-08,-1.02,-0.98
